Company Name,Company Information
360 Ride,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560066
AcadGild,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560071
Actoserba Active Wholesale Pvt Ltd ( Zivame.com ),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560071
Aliceblue,"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560063"
Amplus Group,"Industry : Information Technology (IT), E -CommerceSub Industry : IT Software , QA -Testing, IT- ConsultingCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560043"
Anytime Retail Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560068
Artflute Gallery Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560028
AssetTrackr Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
Blubirch,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560082
Blue Book Bangalore Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560078
BlueStone Jewellery and Lifestyle Pvt Ltd,"Industry : Gems , Jewellery , Watches, E -CommerceSub Industry : Gems , JewelleryCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560103"
Borderless Access Panels Pvt Ltd,"Industry : Advertising , Media, E -CommerceSub Industry : Advertising , PR , MRCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560037"
Brain4ce Education Solutions Pvt Ltd ( Edureka ),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560066
BrizzTV Media Labs Pvt Ltd,"Industry : Advertising , Media, E -CommerceSub Industry : Production , Distribution , EquipmentCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560008"
Brown Tree Retail Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560001
BTI Payments Pvt Ltd (India1ATM),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560008
Budli Internet Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560034
Bundl Technologies Pvt Ltd (Swiggy.com),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560029
Buttercups Intimates Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560038
Camden Apparel Solutions Pvt Ltd,"Industry : Retail, E -CommerceSub Industry : Apparel StoresCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560068"
Campus Sutra,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560026
Canvera Digital Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
Capricoast Home Solutions Pvt Ltd,"Industry : Construction, Infrastructure, Wood , Plastic  Furniture , Fixtures , Fittings, E -CommerceSub Industry : Architectural , Interior Desg , Landscape ServicesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560038"
Cassius Technologies Pvt Ltd ( Freshersworld.com ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
CheerVoucher Global Gifting Solutions,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560055
Chumbak Design Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560038
City Synapse Info Pvt Ltd ( Zenify ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560071
Collectabillia ( Universal Sportsbiz Pvt Ltd ),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560038
Cooolio Online Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560001
DealsNow Consumer Solutions Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095
DesignBids Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
Discovery Info Labs Pvt Ltd (Parentlane),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095
Dress365days,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560061
e-Retail Pvt Ltd ( Live Sports 365 ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560037
eDreams Edusoft Pvt. Ltd (Funtoot),"Industry : Information Technology (IT), E -CommerceSub Industry : IT Software , QA -TestingCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560071"
Edunetwork Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560008
ePuja Web Solutions Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560003
Flipkart Internet Pvt Ltd,Industry : E -CommerceCompany Type  : India's 501-1000Level of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560103
FoodVista India Pvt Ltd ( Freshmenu ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560048
Freshtohome Foods Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560075
Frontfoot Sports Management Pvt  Ltd(Trophykart),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560078
Fueladream Online Ventures Pvt Ltd (fueladream.com),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095
Furlenco,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560102
GeePee Travels,"Industry : Travel , Tourism, E -CommerceSub Industry : Tourism & Transport ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560009"
Global IAS Academy,"Industry : Institutes - Educational , Training, E -CommerceSub Industry : Institutes - OthersCompany Type  : SMEsLevel of Office : Head OfficeLocation: Bangalore / Bengaluru / Karnataka - 560095"
