Company Name,Company Information
1mg,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Gurgaon/Gurugram / Haryana - 122001
99 acres.com (Info Edge India),"Industry : Construction, Infrastructure, E -CommerceSub Industry : Estate ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301"
Aapka Ads India,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110092
AaramShop Pvt Ltd,"Industry : Retail, E -CommerceSub Industry : Grocery StoresCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110028"
Ace InfoBanc Pvt Ltd,"Industry : Information Technology (IT), E -CommerceSub Industry : IT Software , QA -TestingCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110016"
Addazz Online Services Pvt Ltd,"Industry : Entertainment, E -CommerceSub Industry : Museum , Art GalleriesCompany Type  : SMEsLevel of Office : Head OfficeLocation: New Delhi / Delhi - 110017"
ADG Online Solutions Pvt Ltd,"Industry : Advertising , Media, Information Technology (IT), E -CommerceSub Industry : Advertising , PR , MR, IT Software , QA -Testing, IT- ERP , CRMCompany Type  : SMEsLevel of Office : Head OfficeLocation: Faridabad / Haryana - 121009"
Ads2book.com (Times Business Solutions Ltd ),"Industry : Advertising , Media, E -CommerceSub Industry : Advertising , PR , MRCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301"
Adsert Websolutions Pvt Ltd(exchange4media.com),"Industry : Advertising , Media, E -CommerceSub Industry : Advertising , PR , MR, Newspapers ,  Magazines , JournalsCompany Type  : SMEsLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301"
Aforeserve.com Ltd,"Industry : Information Technology (IT), E -CommerceSub Industry : IT- HardwareCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Noida / Uttar Pradesh - 201301"
Alix Retail Pvt Ltd ( FabFurnish ),"Industry : Retail, E -CommerceSub Industry : Furniture , Furnishing , Sanitary OutletsCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Gurgaon/Gurugram / Haryana - 122016"
