Company Name,Company Information
Addon Retail Pvt Ltd,"Industry : Retail, E -CommerceSub Industry : Apparel Stores, Jewellery , WatchesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400063"
Aditya Birla Fashion and Retail Ltd ( Pantaloons ),"Industry : Retail, E -CommerceSub Industry : Apparel StoresCompany Type  : India's Top 500Level of Office : Head OfficeLocation: Mumbai / Maharashtra - 400059"
Airpay Payment Services Pvt Ltd,"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400012"
Akbar Travels Of India Pvt Ltd,"Industry : Travel , Tourism, E -CommerceSub Industry : Travel Agencies , Taxi ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400003"
Alibaba.com India E-Commerce Pvt Ltd,Industry : E -CommerceCompany Type  : MNCLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400051
Amarsons Collections,"Industry : Retail, Garment , Textile, E -CommerceSub Industry : Readymade Garments, Apparel Stores, Jewellery , WatchesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400050"
Apna Paisa Marketing and Services Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400098
Apple Automation And Sensor,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400028
Art Tantra,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400078
Arzoo.com India Pvt Ltd,"Industry : Travel , Tourism, E -CommerceSub Industry : Travel Agencies , Taxi ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400093"
Auzaro,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400009
Avanti Learning Centre,"Industry : Institutes - Educational , Training, E -CommerceSub Industry : Training InstitutesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400022"
Avenues India Pvt Ltd(ccavenues.com),"Industry : BFSI, Information Technology (IT), E -CommerceSub Industry : Financial Services, IT Software , QA -TestingCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400054"
BAJAAO Music Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400099
Banknet India Pvt Ltd,"Industry : Advertising , Media, E -CommerceSub Industry : Event Management, Newspapers ,  Magazines , JournalsCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400049"
Belita Retail Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400093
Bestdealfinance.com Pvt Ltd (Rubique),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400072
Better World Technology Pvt Ltd (Zeta),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400069
BigBookShop,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400023
Bigtree Entertainment Pvt Ltd (Bookmyshow.com),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400049
Biznox,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400092
Bizongo,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400072
bombaysale.com,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400101
Booker India Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400051
BookMeIn ( Aadya Webservices Pvt Ltd ),"Industry : Hospitals , Healthcare, E -CommerceSub Industry : Healthcare ServicesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400059"
Bookmybai.com,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400064
BookOnSpot Travel Solutions Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400086
Boston Ivy Healthcare Pvt Ltd (Medikabazaar),"Industry : Hospitals , Healthcare, E -CommerceSub Industry : Healthcare Equip , MachinesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400055"
Boxmyspace,"Industry : Courier , Logistics , Packaging , Transport, E -CommerceSub Industry : Courier , Logistics , Warehouse , TransportCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400054"
Bus Kiraya,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
Centre for Investment Education and Learning (CIEL),"Industry : Institutes - Educational , Training, E -CommerceSub Industry : Institutes - OthersCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400061"
Charagh Din,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400005
Chingari Ventures LLP ( CraftGully ),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400069
Circle Infotech Pvt Ltd,"Industry : Entertainment, E -CommerceSub Industry : Entertainment ProductCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400079"
Citrus Payment Solutions Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400054
Cleartrip Pvt Ltd,"Industry : Travel , Tourism, E -CommerceSub Industry : Travel Agencies , Taxi ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400011"
Cliff eCommerce,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 440010
Cogencis Information Services Ltd ( NewsWire18 ),"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400086"
Cole-Parmer India Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400076
CouponDunia Media Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400053
Craftby Products Pvt Ltd(Engrave),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
Craftsvilla.com,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400063
D V Travels Guru Pvt Ltd ( Travelguru ),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400064
DBYDX Technologies Pvt Ltd(Selekt),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400042
Dharya Information Pvt Ltd(Librarywala),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400037
Dial Organic,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400054
Digissential Enterprises Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400059
DocSuggest Healthcare Services Pvt Ltd ( Zooty.in ),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400072
E-Billing Solutions Pvt Ltd (Ingenico Group),Industry : E -CommerceCompany Type  : MNCLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400066
E-Lounge ( TheITWares.com ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400007
eBay India Pvt Ltd ( Flipkart Co. ),Industry : E -CommerceCompany Type  : MNCLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400063
eGitanjali Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400093
Encompass Design India Pvt Ltd(bedbathmore.com),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
ePaisa,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400051
Etravel Online Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400007
Exemplar Systems Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400001
Ezeego One Travels And Tours Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400059
FitCircle,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400093
Florista India Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
Flyrobe,"Industry : Retail, Garment , Textile, E -CommerceSub Industry : Readymade Garments, Apparel StoresCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400086"
FSN Ecommerce Ventures Pvt Ltd ( Nykaa.com ),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
Funky Monkeys Play Center,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
